loan_id,age,gender,marital_status,dependents,education,employment_status,employment_years,annual_income,credit_score,previous_default,existing_loans_count,loan_purpose,loan_amount,loan_term_months,interest_rate,property_ownership,savings_balance,collateral_value,debt_to_income_ratio,loanapproval
LN100020,54,Female,Single,2,Bachelor's,Retired,19.5,23040,535,0,2,Auto,3000,360,14.05,Rent,1331,2841,0.098,1
LN100021,35,Male,Single,0,Master's,Employed,4.1,34482,610,0,1,Debt Consolidation,9300,60,11.12,Mortgage,1108,0,0.102,1
LN100022,38,Female,Married,3,Bachelor's,Employed,3.6,35511,573,0,2,Education,5300,48,11.25,Own,1307,0,0.199,1
LN100023,22,Female,Single,1,High School,Self-Employed,1.4,29896,514,1,3,Business,30700,60,13.57,Rent,3343,37657,0.4,0
LN100024,32,Female,Married,3,Bachelor's,Employed,2.6,24934,624,0,0,Home,52300,24,10.55,Rent,455,67462,1.049,0
LN100025,39,Female,Single,1,Bachelor's,Self-Employed,15.3,63582,636,0,3,Home,74700,24,9.71,Rent,10252,72738,0.751,0
LN100026,25,Female,Married,0,Bachelor's,Retired,3.6,18035,576,0,0,Education,4500,120,10.06,Own,1257,0,0.025,1
LN100027,42,Male,Married,1,Bachelor's,Employed,4.5,56542,603,0,2,Personal,4800,360,11.05,Rent,2292,0,0.069,1
LN100028,31,Female,Single,2,Bachelor's,Employed,10.3,39150,571,0,1,Business,37700,360,11.36,Rent,11921,37925,0.085,1
LN100029,34,Male,Single,1,Bachelor's,Self-Employed,5.7,47891,576,0,2,Medical,10000,120,12.2,Mortgage,4720,0,0.11,1
LN100030,31,Male,Married,0,High School,Self-Employed,2.9,12975,554,0,4,Home,13900,48,10.48,Mortgage,658,17786,0.842,0
LN100031,58,Female,Married,3,Master's,Self-Employed,24.1,23747,522,0,0,Business,9200,240,10.77,Mortgage,1856,11783,0.019,1
LN100032,37,Male,Single,0,Bachelor's,Employed,7.6,49271,556,0,2,Business,15200,84,12.87,Mortgage,5322,18606,0.238,0
LN100033,26,Male,Single,0,Bachelor's,Self-Employed,4.7,115110,608,0,0,Home,180700,36,10.06,Mortgage,4741,186818,0.523,0
LN100034,47,Male,Single,1,Master's,Unemployed,0.0,8000,510,0,1,Debt Consolidation,3000,12,14.58,Own,723,0,0.632,0
LN100035,24,Female,Married,1,High School,Employed,2.8,63322,609,0,2,Auto,10300,24,10.42,Mortgage,2812,10633,0.223,0
LN100036,40,Male,Widowed,1,PhD,Employed,11.2,74171,685,0,4,Debt Consolidation,11700,24,7.09,Mortgage,16937,0,0.215,1
LN100037,18,Female,Single,1,High School,Employed,0.0,17626,521,0,0,Personal,1600,240,12.07,Mortgage,575,0,0.01,1
LN100038,23,Male,Single,1,High School,Employed,3.9,19813,564,0,0,Medical,3900,36,11.41,Mortgage,4780,0,0.066,1
LN100039,40,Male,Single,1,Master's,Retired,5.3,38937,571,0,1,Personal,7500,36,12.53,Mortgage,3394,0,0.156,1
LN100040,46,Male,Single,2,Bachelor's,Employed,5.1,84835,619,1,0,Auto,26900,36,12.48,Mortgage,736,34585,0.106,1
LN100041,39,Female,Married,3,Master's,Employed,8.8,63265,608,0,4,Auto,15500,36,12.32,Mortgage,33738,14457,0.156,1
LN100042,36,Male,Divorced,4,Bachelor's,Employed,2.9,35570,596,0,2,Personal,4800,360,11.21,Mortgage,1890,0,0.143,1
LN100043,34,Female,Single,3,Bachelor's,Employed,2.5,44353,608,0,2,Business,28500,48,11.16,Rent,1658,27387,0.292,0
LN100044,21,Female,Married,0,High School,Self-Employed,0.8,13818,614,0,2,Auto,2700,240,11.59,Rent,1667,2439,0.569,0
LN100045,30,Female,Married,1,Master's,Employed,3.7,31960,580,0,1,Personal,6000,60,12.54,Own,1863,0,0.17,0
LN100046,32,Female,Married,0,High School,Employed,5.7,28729,488,0,2,Personal,2400,84,15.44,Own,487,0,0.321,0
LN100047,49,Male,Married,2,PhD,Unemployed,0.0,14436,654,0,2,Business,9100,60,7.19,Mortgage,1383,11537,0.679,0
LN100048,41,Female,Single,0,Bachelor's,Employed,10.1,37557,716,0,0,Personal,7300,240,8.78,Own,1910,0,0.01,1
LN100049,18,Female,Divorced,1,Bachelor's,Employed,0.0,38660,638,0,0,Personal,3500,36,11.8,Rent,2662,0,0.03,1
LN100050,41,Female,Single,1,High School,Self-Employed,0.5,21502,548,0,1,Personal,4200,60,10.74,Mortgage,786,0,0.253,0
LN100051,33,Female,Married,3,Associate,Employed,10.2,16180,576,0,1,Personal,2400,84,11.18,Rent,1499,0,0.147,0
LN100052,30,Female,Divorced,2,Master's,Employed,4.2,27691,582,1,3,Education,6600,24,12.39,Mortgage,20718,0,0.579,0
LN100053,44,Female,Single,1,Bachelor's,Employed,12.6,54650,670,0,0,Auto,7800,240,9.8,Own,10196,8386,0.01,1
LN100054,49,Male,Married,1,Associate,Employed,29.4,87572,700,0,0,Auto,23300,24,8.58,Rent,1423,30010,0.133,1
LN100055,48,Female,Married,2,Associate,Employed,5.5,36449,566,0,1,Home,48400,36,10.28,Rent,8696,55694,0.507,1
LN100056,28,Female,Widowed,0,Bachelor's,Employed,3.8,21892,601,0,0,Personal,2000,84,10.28,Rent,3413,0,0.013,1
LN100057,34,Female,Married,1,High School,Retired,5.4,27314,582,0,1,Medical,5900,180,10.59,Rent,1845,0,0.138,1
LN100058,41,Male,Single,5,Bachelor's,Employed,12.8,40181,595,0,1,Business,34800,60,10.85,Rent,9218,37846,0.265,1
LN100059,48,Female,Married,1,Bachelor's,Employed,9.7,56805,620,0,2,Business,49800,60,9.06,Own,14178,58406,0.325,1
LN100060,32,Female,Married,1,Bachelor's,Self-Employed,4.4,40118,587,0,1,Business,20200,180,12.13,Mortgage,3643,23880,0.087,1
LN100061,35,Male,Married,1,PhD,Unemployed,0.0,23219,528,1,3,Personal,4300,24,15.75,Mortgage,2181,0,0.233,0
LN100062,25,Female,Divorced,1,Bachelor's,Employed,4.5,56201,539,0,0,Education,26400,36,14.04,Mortgage,2635,0,0.157,0
LN100063,24,Male,Single,1,Master's,Employed,3.6,22488,542,0,3,Personal,3600,48,13.74,Rent,2857,0,0.469,0
LN100064,46,Female,Single,3,Associate,Employed,9.9,47442,638,0,0,Home,58000,120,11.17,Own,899,62651,0.122,1
LN100065,52,Male,Married,0,Master's,Employed,18.9,55406,646,0,1,Personal,11300,48,9.44,Rent,18851,0,0.076,1
LN100066,37,Male,Divorced,2,Bachelor's,Self-Employed,3.8,35424,623,0,2,Medical,6100,48,11.58,Rent,13633,0,0.126,0
LN100067,49,Male,Married,0,Bachelor's,Employed,13.6,56168,584,0,0,Medical,12600,36,12.44,Own,7371,0,0.075,1
LN100068,41,Female,Widowed,1,Master's,Employed,12.5,63638,569,0,1,Debt Consolidation,14400,240,10.51,Own,23004,0,0.027,0
LN100069,30,Male,Divorced,2,High School,Retired,5.8,11251,564,0,0,Debt Consolidation,3500,36,11.67,Mortgage,1142,0,0.104,0
LN100070,41,Female,Divorced,0,Master's,Employed,5.3,58289,618,0,0,Home,41100,84,9.06,Mortgage,5256,42226,0.101,1
LN100071,54,Female,Divorced,2,Bachelor's,Unemployed,0.0,8000,535,0,1,Home,8000,12,12.58,Own,820,9759,1.405,0
LN100072,37,Female,Divorced,2,Bachelor's,Employed,4.7,59008,560,0,2,Education,24600,12,11.62,Own,3325,0,0.488,0
LN100073,55,Male,Married,2,Master's,Employed,8.0,59272,610,0,1,Debt Consolidation,13700,36,11.1,Mortgage,26017,0,0.107,1
LN100074,18,Female,Married,1,High School,Employed,0.0,29598,466,0,2,Auto,7900,120,12.81,Own,7596,7686,0.11,0
LN100075,47,Female,Single,1,PhD,Employed,16.0,45786,508,0,0,Education,8500,240,12.53,Mortgage,10978,0,0.01,1
LN100076,38,Male,Single,0,Master's,Employed,4.1,248652,709,0,2,Education,69800,240,9.09,Own,55720,0,0.029,1
LN100077,34,Male,Single,2,Bachelor's,Retired,0.6,40773,599,0,2,Home,53600,180,13.29,Mortgage,5059,66958,0.221,1
LN100078,39,Male,Single,0,Bachelor's,Employed,15.8,36111,513,0,2,Debt Consolidation,5200,60,13.32,Mortgage,685,0,0.14,1
LN100079,18,Female,Single,1,High School,Employed,0.0,31247,547,0,2,Business,19000,60,12.71,Own,496,20801,0.251,1
LN100080,35,Male,Divorced,0,Bachelor's,Employed,4.5,48845,522,0,1,Home,67500,360,13.89,Rent,2999,74925,0.095,1
LN100081,41,Male,Married,0,Master's,Retired,13.1,40221,528,1,1,Auto,6900,36,13.16,Mortgage,971,8251,0.121,0
LN100082,54,Female,Single,1,High School,Employed,26.3,8000,567,0,1,Personal,1400,120,11.69,Mortgage,930,0,0.16,0
LN100083,32,Female,Married,0,Bachelor's,Self-Employed,4.2,44468,629,0,2,Education,14300,36,8.42,Rent,12631,0,0.172,1
LN100084,29,Female,Married,1,Master's,Employed,5.1,80616,642,0,1,Home,87200,48,11.3,Rent,5350,90418,0.289,1
LN100085,32,Female,Single,1,Bachelor's,Self-Employed,0.2,27839,437,0,2,Education,3400,360,14.65,Rent,947,0,0.188,0
LN100086,48,Male,Divorced,0,Bachelor's,Employed,17.2,17505,457,0,3,Auto,2600,180,11.91,Mortgage,267,3352,0.544,0
LN100087,41,Female,Single,1,High School,Employed,7.8,18226,603,0,0,Personal,1800,120,12.2,Mortgage,55,0,0.01,1
LN100088,32,Male,Married,0,Bachelor's,Employed,8.2,39900,683,0,1,Home,22100,12,8.66,Own,3081,23780,0.597,1
LN100089,43,Female,Single,1,Master's,Employed,14.5,131510,625,0,0,Business,50400,48,10.12,Own,50017,61513,0.096,1
LN100090,39,Female,Married,1,Bachelor's,Employed,4.8,40713,547,1,2,Business,33400,24,13.14,Own,3775,33694,0.64,1
LN100091,48,Male,Married,0,High School,Retired,6.0,11383,597,0,2,Debt Consolidation,4500,48,10.97,Rent,1006,0,0.573,0
LN100092,30,Female,Single,0,High School,Self-Employed,7.1,45724,589,0,2,Home,40300,84,11.08,Mortgage,3460,43818,0.273,0
LN100093,34,Male,Widowed,2,Bachelor's,Retired,2.3,19545,596,0,0,Debt Consolidation,7400,240,10.47,Own,2592,0,0.019,0
LN100094,33,Male,Single,2,Master's,Employed,2.3,21069,553,0,2,Personal,1700,24,11.26,Own,334,0,0.299,0
LN100095,21,Female,Married,2,High School,Employed,0.8,14926,574,0,1,Personal,1400,84,9.28,Mortgage,726,0,0.086,1
LN100096,41,Female,Divorced,2,Bachelor's,Employed,7.7,52714,574,0,0,Medical,5200,180,13.69,Mortgage,10492,0,0.01,1
LN100097,40,Female,Divorced,2,Bachelor's,Self-Employed,15.0,26428,584,0,2,Personal,1500,360,11.85,Rent,5635,0,0.297,1
LN100098,38,Female,Single,2,High School,Self-Employed,4.0,42669,507,0,0,Personal,3400,360,11.55,Mortgage,2277,0,0.01,1
LN100099,35,Female,Single,0,High School,Self-Employed,4.7,68794,662,0,3,Education,10700,24,9.84,Mortgage,21215,0,0.269,1
LN100100,22,Male,Married,0,Bachelor's,Employed,2.5,76945,630,0,1,Business,77500,180,10.4,Own,2242,93439,0.092,1
LN100101,33,Male,Single,0,Master's,Employed,9.5,36564,539,0,2,Home,52000,48,13.09,Own,1962,56904,0.587,0
LN100102,34,Male,Married,0,Bachelor's,Self-Employed,4.5,19472,538,0,3,Home,39800,180,11.69,Own,11994,41403,0.782,0
LN100103,29,Male,Married,2,Master's,Self-Employed,7.4,14713,546,0,1,Debt Consolidation,4500,240,10.84,Own,5037,0,0.32,1
LN100104,36,Female,Married,0,Bachelor's,Employed,4.0,28698,538,0,3,Education,8500,12,14.85,Rent,7354,0,0.596,0
LN100105,42,Male,Single,0,Master's,Employed,16.3,16188,496,0,3,Business,7100,180,14.12,Mortgage,196,7894,0.553,0
LN100106,58,Male,Married,1,Master's,Employed,15.6,61781,619,0,1,Auto,6900,60,10.69,Rent,3655,8478,0.083,1
LN100107,39,Male,Divorced,3,Master's,Employed,14.8,117649,558,0,3,Education,28600,24,11.14,Own,2180,0,0.184,1
LN100108,40,Female,Married,1,Bachelor's,Employed,9.3,45708,633,0,2,Home,30100,60,10.01,Mortgage,8601,32461,0.291,1
LN100109,37,Female,Married,1,Associate,Self-Employed,4.7,22442,624,0,0,Personal,4300,12,10.82,Mortgage,2328,0,0.192,0
LN100110,18,Male,Single,1,High School,Employed,0.0,45474,555,0,3,Personal,7900,60,11.73,Rent,1694,0,0.114,1
LN100111,37,Female,Single,1,High School,Self-Employed,6.6,18390,549,0,0,Medical,3600,180,13.37,Rent,780,0,0.013,1
LN100112,38,Male,Single,0,Master's,Employed,13.3,40611,500,0,0,Personal,7500,12,13.03,Rent,3116,0,0.185,1
LN100113,65,Female,Married,3,Master's,Self-Employed,38.8,58269,627,0,3,Auto,13600,360,8.66,Rent,5702,15125,0.092,1
LN100114,35,Male,Single,0,Master's,Employed,8.4,29357,482,0,1,Education,8000,60,13.01,Rent,4922,0,0.185,1
LN100115,41,Male,Married,0,PhD,Unemployed,0.0,12408,574,0,1,Home,24800,60,9.12,Rent,4105,22973,0.66,0
LN100116,37,Female,Married,0,Bachelor's,Employed,15.5,72210,567,0,0,Personal,14600,24,11.83,Own,32432,0,0.101,1
LN100117,25,Female,Married,2,Associate,Employed,1.6,27895,537,0,0,Personal,2200,240,10.54,Rent,6346,0,0.01,1
LN100118,50,Male,Single,3,High School,Unemployed,0.0,8000,487,0,0,Home,7400,60,13.24,Own,326,6736,0.185,0
LN100119,46,Female,Married,2,Associate,Self-Employed,11.7,34161,598,0,3,Personal,4600,240,12.04,Mortgage,1596,0,0.302,1
LN100120,46,Female,Married,0,Bachelor's,Employed,12.3,49556,592,0,0,Personal,9000,60,8.49,Rent,24281,0,0.036,1
LN100121,27,Female,Single,0,High School,Employed,5.1,19401,448,0,0,Medical,3800,240,15.62,Rent,746,0,0.01,1
LN100122,53,Male,Single,1,Master's,Employed,29.8,52170,488,0,1,Debt Consolidation,18900,120,13.53,Own,5831,0,0.068,0
LN100123,22,Male,Married,1,Bachelor's,Unemployed,0.0,16538,519,1,3,Medical,3900,60,15.32,Own,3415,0,0.728,0
LN100124,44,Female,Married,2,High School,Employed,0.8,19181,565,0,3,Business,11200,240,13.22,Own,1864,14061,0.541,0
LN100125,62,Male,Single,2,High School,Employed,20.7,32592,591,0,2,Home,59000,24,11.42,Rent,14913,69843,1.186,0
LN100126,27,Male,Single,1,High School,Employed,2.5,26200,570,0,0,Auto,7700,60,12.64,Mortgage,751,8984,0.059,1
LN100127,31,Male,Single,0,Master's,Self-Employed,3.9,19851,638,0,2,Business,19900,36,9.04,Own,3662,22153,0.767,0
LN100128,39,Female,Divorced,0,Bachelor's,Unemployed,0.0,8000,521,0,2,Auto,2100,36,13.35,Rent,566,2233,0.891,0
LN100129,32,Male,Married,0,Associate,Employed,10.3,27700,637,0,0,Auto,3400,240,9.76,Mortgage,7126,3400,0.01,1
LN100130,20,Female,Married,1,Bachelor's,Employed,0.5,49469,530,0,3,Debt Consolidation,16700,180,12.92,Own,7509,0,0.307,0
LN100131,38,Male,Divorced,1,Master's,Employed,9.4,121242,610,0,3,Auto,26100,60,10.48,Own,2579,25806,0.092,1
LN100132,26,Male,Married,1,Associate,Employed,4.3,11782,521,0,2,Home,20700,48,12.23,Mortgage,4688,21847,1.061,0
LN100133,43,Male,Married,5,High School,Employed,12.0,11219,505,0,3,Personal,1600,36,13.15,Own,1439,0,1.286,0
LN100134,27,Male,Single,1,High School,Employed,2.7,21933,594,0,0,Debt Consolidation,3400,180,10.44,Rent,259,0,0.01,1
LN100135,55,Female,Married,2,Bachelor's,Employed,1.9,48313,628,0,1,Auto,7800,24,10.74,Rent,3330,8141,0.162,1
LN100136,29,Female,Single,0,PhD,Self-Employed,1.2,32267,438,0,3,Education,11500,36,14.3,Rent,8069,0,0.226,0
LN100137,34,Male,Married,3,Master's,Self-Employed,5.9,58467,529,0,0,Home,95200,120,10.98,Mortgage,2118,102511,0.163,0
LN100138,46,Male,Single,1,Bachelor's,Employed,15.7,63821,674,0,1,Home,131600,180,7.98,Own,802,132251,0.212,0
LN100139,24,Female,Single,1,High School,Employed,4.6,36512,534,0,0,Education,11500,12,11.38,Own,1139,0,0.315,0
LN100140,40,Female,Single,1,Master's,Self-Employed,2.3,158630,657,0,0,Home,269900,12,9.56,Rent,24263,339486,1.5,0
LN100141,52,Female,Married,0,Bachelor's,Self-Employed,15.1,29590,558,0,1,Education,11300,24,12.05,Mortgage,723,0,0.236,0
LN100142,20,Female,Divorced,0,High School,Employed,0.6,8000,472,0,0,Education,1800,36,13.11,Own,6003,0,0.075,1
LN100143,40,Male,Single,1,Master's,Employed,12.5,33043,572,0,0,Education,12300,24,10.57,Rent,5537,0,0.186,1
LN100144,40,Female,Divorced,1,Associate,Employed,5.9,49379,480,0,2,Business,13900,120,13.05,Own,9195,17692,0.191,0
LN100145,46,Male,Married,1,High School,Employed,14.4,47655,564,0,1,Auto,12000,36,9.65,Mortgage,17579,13323,0.148,1
LN100146,24,Male,Married,0,Bachelor's,Retired,0.0,9072,584,0,1,Business,9600,60,11.98,Own,117,11714,0.531,1
LN100147,23,Female,Single,3,Master's,Self-Employed,3.6,106346,600,0,0,Auto,31900,360,11.87,Rent,2767,39048,0.01,1
LN100148,43,Female,Divorced,2,Bachelor's,Unemployed,0.0,8000,505,0,0,Medical,1400,84,10.97,Mortgage,952,0,0.025,0
LN100149,41,Female,Single,1,Associate,Unemployed,0.0,8000,488,0,1,Debt Consolidation,2000,360,15.48,Rent,1234,0,0.467,0
LN100150,40,Male,Married,3,PhD,Employed,2.7,69484,608,0,1,Personal,11300,120,13.02,Own,17843,0,0.08,1
LN100151,41,Male,Married,1,High School,Employed,5.1,18922,618,0,1,Education,5200,60,8.23,Mortgage,1155,0,0.278,1
LN100152,30,Male,Married,0,Master's,Employed,7.1,61479,620,0,0,Home,103100,12,8.4,Rent,4005,118041,1.5,0
LN100153,40,Female,Single,2,Bachelor's,Self-Employed,12.1,31874,573,0,1,Business,27100,24,9.82,Mortgage,8326,33175,0.485,1
LN100154,41,Male,Married,1,High School,Employed,12.8,27712,570,0,2,Personal,3100,48,10.48,Rent,6230,0,0.149,1
LN100155,30,Female,Divorced,4,High School,Employed,9.1,11870,535,0,1,Personal,1000,60,12.37,Rent,333,0,0.315,0
LN100156,58,Male,Divorced,0,Bachelor's,Employed,28.9,105310,560,0,2,Home,150400,24,12.79,Rent,3786,148159,0.772,1
LN100157,43,Female,Divorced,2,Bachelor's,Self-Employed,13.0,37470,544,0,0,Home,75300,36,11.4,Own,871,69928,0.67,0
LN100158,24,Female,Single,1,Bachelor's,Employed,1.7,29240,503,0,2,Debt Consolidation,5300,360,13.51,Own,13198,0,0.091,0
LN100159,45,Male,Married,0,High School,Employed,8.3,31730,532,0,0,Personal,2300,36,12.75,Rent,5983,0,0.024,1
LN100160,27,Male,Single,0,Bachelor's,Unemployed,0.0,8000,567,0,1,Auto,1300,24,10.41,Own,1737,1171,0.532,0
LN100161,46,Female,Divorced,0,Bachelor's,Employed,10.2,34015,583,0,1,Personal,4700,120,12.33,Mortgage,3256,0,0.137,0
LN100162,50,Female,Single,3,PhD,Employed,16.0,29926,534,0,2,Personal,5000,120,11.8,Own,3754,0,0.126,0
LN100163,28,Female,Married,3,Bachelor's,Employed,5.0,23580,603,0,1,Business,24300,120,8.24,Own,2613,30543,0.306,1
LN100164,48,Female,Divorced,1,PhD,Self-Employed,7.0,54752,684,0,3,Home,33800,84,8.08,Own,5324,31104,0.213,1
LN100165,42,Male,Married,4,Bachelor's,Employed,3.7,46378,607,0,0,Debt Consolidation,5900,120,11.28,Rent,934,0,0.013,1
LN100166,47,Female,Married,2,Bachelor's,Self-Employed,11.6,30205,718,0,1,Education,5700,240,7.19,Own,48314,0,0.074,1
LN100167,58,Male,Single,1,Bachelor's,Employed,15.9,33619,591,1,3,Business,24200,12,14.18,Own,8120,30794,1.049,0
LN100168,35,Female,Married,0,Master's,Self-Employed,9.3,74049,689,0,0,Business,32900,36,9.61,Rent,676,40805,0.148,1
LN100169,29,Male,Divorced,1,Master's,Unemployed,0.0,9254,574,0,3,Debt Consolidation,3100,180,10.55,Own,1899,0,1.125,0
LN100170,28,Female,Married,3,Master's,Self-Employed,1.3,30609,643,0,2,Auto,9800,60,8.31,Mortgage,5958,10226,0.327,1
LN100171,29,Male,Single,1,Bachelor's,Employed,2.7,44426,537,0,0,Personal,5000,120,11.19,Own,4482,0,0.011,1
LN100172,37,Male,Single,0,Bachelor's,Employed,8.1,37422,550,0,0,Home,52300,84,12.4,Own,4675,53673,0.2,0
LN100173,41,Male,Single,2,Bachelor's,Employed,5.0,33903,599,0,2,Home,25600,60,11.84,Mortgage,158,32715,0.258,0
LN100174,41,Female,Married,2,Associate,Employed,10.6,55925,537,0,0,Personal,11500,240,12.16,Own,1163,0,0.01,1
LN100175,47,Female,Single,1,Bachelor's,Retired,12.7,19671,488,0,3,Auto,1900,84,13.01,Mortgage,2137,1812,0.354,1
LN100176,38,Female,Married,0,Associate,Employed,4.5,40519,460,0,1,Auto,4700,24,11.26,Mortgage,2698,5194,0.115,0
LN100177,53,Male,Married,2,Bachelor's,Unemployed,0.0,8000,538,0,1,Personal,1000,240,12.17,Own,453,0,0.228,0
LN100178,35,Female,Married,1,Master's,Retired,5.1,24966,632,0,2,Personal,4600,360,8.75,Mortgage,578,0,0.345,0
LN100179,67,Female,Single,0,Master's,Retired,35.9,39264,655,0,2,Home,43700,60,7.16,Mortgage,1752,52140,0.283,1
LN100180,44,Male,Married,0,Master's,Self-Employed,10.2,45860,528,0,1,Debt Consolidation,19200,60,12.22,Mortgage,3137,0,0.114,1
LN100181,28,Male,Married,0,Master's,Employed,7.2,30903,532,0,1,Education,5600,12,10.15,Own,819,0,0.215,0
LN100182,26,Male,Single,2,Bachelor's,Employed,3.2,15223,534,0,0,Auto,1500,120,12.45,Rent,988,1389,0.01,1
LN100183,43,Male,Widowed,1,Master's,Employed,11.6,34597,478,0,3,Home,27200,84,14.32,Own,5731,34079,0.495,0
LN100184,35,Male,Single,0,Associate,Employed,10.1,22165,577,0,0,Auto,7600,180,11.17,Own,2562,7941,0.023,1
LN100185,45,Female,Married,1,Bachelor's,Employed,17.7,44835,586,0,3,Business,39800,36,10.13,Own,4230,40135,0.55,1
LN100186,43,Male,Single,0,Associate,Employed,12.2,52058,609,0,0,Debt Consolidation,17700,60,9.67,Rent,2050,0,0.068,1
LN100187,37,Female,Married,1,High School,Employed,5.6,12905,529,0,0,Auto,3500,24,11.61,Rent,3878,3461,0.136,0
LN100188,28,Female,Married,0,High School,Self-Employed,6.1,29556,532,0,0,Debt Consolidation,4000,48,12.53,Own,6931,0,0.034,1
LN100189,21,Female,Single,1,Bachelor's,Unemployed,0.0,8000,432,1,0,Auto,1200,360,18.08,Rent,968,1160,0.01,1
LN100190,33,Female,Married,1,Master's,Employed,1.9,63913,629,0,0,Personal,13300,60,9.84,Rent,951,0,0.042,1
LN100191,47,Male,Married,2,High School,Self-Employed,19.0,48148,602,0,3,Debt Consolidation,11300,360,9.73,Own,14566,0,0.25,1
LN100192,40,Female,Married,3,Master's,Self-Employed,13.0,73787,639,0,0,Auto,21300,240,11.66,Own,4224,24153,0.014,1
LN100193,24,Male,Single,1,Bachelor's,Employed,3.0,47048,500,0,0,Auto,16400,60,14.13,Own,2390,18228,0.07,0
LN100194,39,Female,Single,1,Bachelor's,Employed,12.4,11335,607,0,1,Auto,3000,24,10.08,Mortgage,3403,2966,0.392,0
LN100195,42,Female,Married,1,Bachelor's,Self-Employed,15.2,31411,610,0,3,Debt Consolidation,6800,180,11.27,Own,3834,0,0.349,1
LN100196,28,Female,Single,1,High School,Employed,0.6,36710,524,0,2,Debt Consolidation,11800,24,15.32,Mortgage,2252,0,0.386,1
LN100197,39,Female,Married,2,Bachelor's,Retired,3.5,62085,652,0,1,Auto,9300,24,9.68,Rent,4575,11343,0.127,1
LN100198,38,Male,Single,4,Bachelor's,Unemployed,0.0,13855,483,1,3,Business,13700,48,16.29,Mortgage,1786,14496,1.12,0
LN100199,25,Male,Single,1,Bachelor's,Employed,4.1,49023,620,0,1,Personal,4600,84,10.82,Own,3858,0,0.077,1
LN100200,41,Female,Divorced,0,Associate,Employed,13.0,31813,601,0,2,Home,27300,84,11.22,Rent,545,34670,0.192,1
LN100201,44,Male,Married,0,Master's,Employed,3.6,34887,559,0,1,Medical,8300,240,12.08,Rent,1587,0,0.04,1
LN100202,49,Female,Married,0,Bachelor's,Employed,17.2,92220,666,0,2,Auto,31000,36,9.76,Rent,14435,35609,0.133,1
LN100203,49,Male,Divorced,1,Bachelor's,Employed,19.3,54465,656,0,4,Personal,8500,360,9.13,Mortgage,2717,0,0.229,1
LN100204,22,Female,Married,1,High School,Employed,2.6,20474,570,0,3,Medical,4500,24,9.42,Rent,2819,0,0.317,0
