id,address_state,application_type,emp_length,employer,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,term,verification_status,annual_income,monthly_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
458328,GA,INDIVIDUAL,< 1 year,north ga dentention center,B,MORTGAGE,10/01/2021,10/11/2021,10/07/2021,Charged Off,10/08/2021,570309,car,B2, 36 months,Not Verified,30000,2500,9.92,164.85,11.48,5000,19,884
744344,WA,INDIVIDUAL,6 years,,B,MORTGAGE,11/05/2021,16/05/2021,13/01/2021,Charged Off,13/02/2021,942813,car,B4, 36 months,Not Verified,48000,4000,23.57,197.83,11.49,6000,27,3950
1026463,FL,INDIVIDUAL,6 years,sky powersports,C,MORTGAGE,11/11/2021,14/04/2021,13/12/2021,Charged Off,13/01/2022,1255647,car,C3, 36 months,Not Verified,60000,5000,3.66,217.32,14.65,6300,10,5554
489679,FL,INDIVIDUAL,2 years,Synovus Bank,D,MORTGAGE,10/03/2021,12/12/2021,12/07/2021,Charged Off,12/08/2021,624878,car,D4, 36 months,Not Verified,34000,2833,14.86,210.07,15.7,6000,6,5986
519658,GA,INDIVIDUAL,< 1 year,ACUMEN FISCAL AGENT/MS ROBINSON,A,OWN,10/05/2021,12/01/2021,11/08/2021,Charged Off,11/09/2021,671773,car,A5, 36 months,Not Verified,18000,1500,21.6,148.59,7.88,4750,16,2216
470041,CA,INDIVIDUAL,10+ years,inspired automation inc,A,OWN,10/01/2021,12/03/2021,11/10/2021,Charged Off,11/11/2021,593245,car,A1, 36 months,Not Verified,43800,3650,7.37,148.32,7.05,4800,7,3210
393852,NH,INDIVIDUAL,10+ years,self,B,OWN,09/05/2021,11/06/2021,11/01/2021,Charged Off,11/02/2021,432187,car,B4, 36 months,Not Verified,98736,8228,8.12,50.58,11.89,9000,19,1045
725534,TX,INDIVIDUAL,1 year,Able Electronics,B,OWN,11/04/2021,13/12/2021,13/07/2021,Charged Off,13/08/2021,920793,car,B4, 36 months,Not Verified,48000,4000,5.1,60.34,10.74,1850,45,1655
428387,PA,INDIVIDUAL,< 1 year,Abraxas I,C,OWN,09/07/2021,16/05/2021,09/10/2021,Charged Off,09/11/2021,506847,car,C2, 36 months,Not Verified,27852,2321,10.21,141.2,12.84,4200,28,282
783561,CA,INDIVIDUAL,6 years,La curacao,A,RENT,11/06/2021,12/06/2021,12/02/2021,Charged Off,12/03/2021,986688,car,A4, 36 months,Not Verified,48000,4000,25.85,186.61,7.49,6000,16,1575
969474,HI,INDIVIDUAL,7 years,Outback Steakhouse,A,RENT,11/10/2021,14/03/2021,13/10/2021,Charged Off,13/11/2021,1190684,car,A5, 36 months,Not Verified,30000,2500,18.72,228.63,8.9,7200,25,5845
773111,WA,INDIVIDUAL,3 years,URS corp,A,RENT,11/06/2021,14/04/2021,13/11/2021,Charged Off,13/12/2021,975126,car,A5, 36 months,Not Verified,22800,1900,5.26,75.76,8.49,2400,3,2278
472634,FL,INDIVIDUAL,1 year,walmart,A,RENT,09/12/2021,11/04/2021,10/11/2021,Charged Off,10/12/2021,596856,car,A1, 36 months,Not Verified,12720,1060,0,231.75,7.05,7500,9,2073
494891,MA,INDIVIDUAL,5 years,EdgeStream Inc,B,RENT,10/03/2021,16/04/2021,11/03/2021,Charged Off,11/04/2021,633723,car,B5, 36 months,Not Verified,31000,2583,1.59,182.66,11.36,5550,5,2083
458797,NV,INDIVIDUAL,8 years,MAD MATT'S Bar & Grille,B,RENT,09/11/2021,11/11/2021,11/07/2021,Charged Off,11/08/2021,571361,car,B2, 36 months,Not Verified,89650,7471,0.56,725.31,11.48,22000,19,15424
743690,OK,INDIVIDUAL,3 years,Dominos Pizza,B,RENT,11/05/2021,15/02/2021,12/06/2021,Charged Off,12/07/2021,942003,car,B5, 36 months,Not Verified,45000,3750,14.64,332.1,11.99,10000,18,4553
384963,NJ,INDIVIDUAL,10+ years,Pesci Family,B,RENT,09/03/2021,11/07/2021,11/03/2021,Charged Off,11/04/2021,416412,car,B1, 36 months,Not Verified,39996,3333,22.98,261.71,10.95,8000,43,6197
508426,OH,INDIVIDUAL,< 1 year,Forum Health,B,RENT,10/05/2021,16/05/2021,11/12/2021,Charged Off,11/01/2022,656002,car,B4, 36 months,Not Verified,49800,4150,17.4,163.68,10.99,5000,13,3110
402318,IL,INDIVIDUAL,8 years,River Trails Park District,B,RENT,09/05/2021,12/03/2021,11/10/2021,Charged Off,11/11/2021,446914,car,B5, 36 months,Not Verified,15000,1250,16.88,106.61,12.21,3200,19,3140
359401,CA,INDIVIDUAL,2 years,DMS Marketing,C,RENT,08/10/2021,16/05/2021,09/09/2021,Charged Off,09/10/2021,366581,car,C3, 36 months,Not Verified,48000,4000,17.53,200.47,12.41,6000,14,5104
290803,TX,INDIVIDUAL,< 1 year,Nesle,C,RENT,08/03/2021,10/12/2021,10/08/2021,Charged Off,10/09/2021,290796,car,C2, 36 months,Not Verified,37440,3120,7.72,98.7,11.34,3000,14,2798
847836,AZ,INDIVIDUAL,7 years,24 hour fitness,C,RENT,11/08/2021,16/05/2021,13/05/2021,Charged Off,13/06/2021,1059380,car,C3, 36 months,Not Verified,105000,8750,13.5,382.74,13.99,11200,29,8037
362098,FL,INDIVIDUAL,2 years,Starbucks,D,RENT,08/11/2021,11/01/2021,10/08/2021,Charged Off,10/09/2021,371139,car,D2, 36 months,Not Verified,15000,1250,14,136.08,13.67,4000,13,2685
1044994,CA,INDIVIDUAL,4 years,URS Corp,D,RENT,11/12/2021,16/05/2021,14/03/2021,Charged Off,14/04/2021,1275383,car,D2, 36 months,Not Verified,59100,4925,12.87,106.62,16.77,3000,13,2772
734343,NY,INDIVIDUAL,4 years,Berean Group,B,MORTGAGE,11/04/2021,14/03/2021,13/10/2021,Charged Off,13/11/2021,930853,car,B2, 36 months,Not Verified,126000,10500,15.29,193.61,10,6000,22,5796
126392,WI,INDIVIDUAL,< 1 year,Tideway Systems,A,MORTGAGE,07/09/2021,07/08/2021,08/04/2021,Fully Paid,08/05/2021,125914,car,A4, 36 months,Not Verified,173000,14417,0.72,313.67,8.07,10000,41,10435
269289,CT,INDIVIDUAL,< 1 year,mdm golf,A,MORTGAGE,08/03/2021,11/01/2021,10/10/2021,Fully Paid,10/11/2021,260821,car,A5, 36 months,Not Verified,60000,5000,8.94,316.28,8.63,10000,27,11340
266282,TX,INDIVIDUAL,5 years,"NetVida Marketing, Inc.",B,MORTGAGE,08/02/2021,10/05/2021,10/05/2021,Fully Paid,10/06/2021,188654,car,B2, 36 months,Not Verified,40000,3333,18.72,257.24,9.76,8000,35,9149
243406,NJ,INDIVIDUAL,9 years,CK General Construction,B,MORTGAGE,08/02/2021,12/09/2021,11/02/2021,Fully Paid,11/03/2021,243089,car,B2, 36 months,Not Verified,200000,16667,4.84,192.93,9.76,6000,22,6945
226154,MN,INDIVIDUAL,10+ years,Ramsey County,E,MORTGAGE,08/01/2021,11/01/2021,11/02/2021,Fully Paid,11/03/2021,225530,car,E1, 36 months,Not Verified,72000,6000,22.57,170.72,13.93,5000,44,6146
253727,WA,INDIVIDUAL,2 years,Central Washington Hospital,A,OWN,08/02/2021,10/09/2021,10/09/2021,Fully Paid,10/10/2021,253715,car,A5, 36 months,Not Verified,10000,833,0,142.33,8.63,4500,6,5096
196380,CA,INDIVIDUAL,10+ years,Comerica Bank,A,RENT,08/01/2021,10/02/2021,10/02/2021,Fully Paid,10/03/2021,188466,car,A4, 36 months,Not Verified,62000,5167,14.07,345.06,8.07,11000,23,12247
206181,MA,INDIVIDUAL,< 1 year,Lexington Alarm Systems,A,RENT,08/01/2021,16/04/2021,10/04/2021,Fully Paid,10/05/2021,167318,car,A1, 36 months,Not Verified,28800,2400,0,108.27,7.12,3500,5,3863
219070,CO,INDIVIDUAL,2 years,Arborist Services,B,RENT,08/02/2021,10/09/2021,10/09/2021,Fully Paid,10/10/2021,219037,car,B5, 36 months,Not Verified,50000,4167,5.06,194.91,10.46,6000,21,6982
219000,WA,INDIVIDUAL,3 years,Evergreen Treatment Services,B,RENT,08/01/2021,11/01/2021,11/01/2021,Fully Paid,11/02/2021,218997,car,B1, 36 months,Not Verified,37000,3083,16.74,175.42,9.2,5500,36,6320
281384,TN,INDIVIDUAL,< 1 year,Church of God of Prophecy,C,RENT,08/03/2021,11/03/2021,11/03/2021,Fully Paid,11/04/2021,281309,car,C3, 36 months,Not Verified,54263,4522,12.38,115.69,11.66,3500,23,4164
120525,VA,INDIVIDUAL,1 year,Starbucks,C,RENT,07/08/2021,11/06/2021,10/08/2021,Fully Paid,10/09/2021,120227,car,C3, 36 months,Not Verified,18000,1500,18,130.79,10.91,4000,5,4708
253987,VA,INDIVIDUAL,2 years,Comcast,C,RENT,08/02/2021,16/05/2021,10/06/2021,Fully Paid,10/07/2021,253974,car,C1, 36 months,Not Verified,41000,3417,16.92,98.26,11.03,3000,16,3498
450292,CT,INDIVIDUAL,1 year,Newcomb Spring,A,MORTGAGE,09/10/2021,16/02/2021,12/10/2021,Fully Paid,12/11/2021,553755,car,A2, 36 months,Not Verified,85000,7083,2.39,136.66,7.4,4400,19,4920
401775,GA,INDIVIDUAL,1 year,Chemlink Laboratories,A,MORTGAGE,09/05/2021,12/05/2021,12/05/2021,Fully Paid,12/06/2021,446077,car,A2, 36 months,Not Verified,28500,2375,2.23,265.13,7.68,8500,10,9544
373881,TX,INDIVIDUAL,1 year,Jesuit College Preparatory School,A,MORTGAGE,09/01/2021,11/02/2021,11/02/2021,Fully Paid,11/03/2021,394401,car,A2, 36 months,Not Verified,40308,3359,5.78,155.96,7.68,5000,19,5422
973780,TX,INDIVIDUAL,1 year,Diamond Offshore,A,MORTGAGE,11/10/2021,14/10/2021,14/10/2021,Fully Paid,14/11/2021,1195796,car,A2, 36 months,Not Verified,149400,12450,9.94,214.93,6.62,7000,43,7737
750759,WI,INDIVIDUAL,1 year,BRP US Inc,A,MORTGAGE,11/06/2021,14/06/2021,14/06/2021,Fully Paid,14/07/2021,950147,car,A2, 36 months,Not Verified,54000,4500,11.29,60.84,5.99,2000,18,2190
745149,OH,INDIVIDUAL,1 year,Independant Contractor,A,MORTGAGE,11/05/2021,16/05/2021,14/05/2021,Fully Paid,14/06/2021,943695,car,A3, 36 months,Not Verified,38400,3200,3.19,74.1,6.99,2400,7,2667
775926,MO,INDIVIDUAL,1 year,Northwwind Engineering,A,MORTGAGE,11/06/2021,14/06/2021,14/06/2021,Fully Paid,14/07/2021,978223,car,A4, 36 months,Not Verified,60000,5000,2.42,149.29,7.49,4800,6,5374
651079,RI,INDIVIDUAL,1 year,Fakouri Electrical,A,MORTGAGE,11/01/2021,14/01/2021,14/01/2021,Fully Paid,14/02/2021,832879,car,A4, 36 months,Not Verified,58000,4833,21.27,124.04,7.29,4000,24,4466
627209,MD,INDIVIDUAL,10+ years,Second Empire Furniture Inc.,A,MORTGAGE,10/12/2021,14/10/2021,13/12/2021,Fully Paid,13/01/2022,803704,car,A1, 36 months,Not Verified,31000,2583,2.83,241.28,5.42,8000,17,8686
781516,MO,INDIVIDUAL,10+ years,state of missouri department of correcti,A,MORTGAGE,11/06/2021,11/07/2021,11/08/2021,Fully Paid,11/09/2021,984370,car,A1, 36 months,Not Verified,33600,2800,1.61,90.48,5.42,3000,15,3014
971771,CA,INDIVIDUAL,10+ years,"Stafford Meat Co., Inc.",A,MORTGAGE,11/10/2021,16/05/2021,14/10/2021,Fully Paid,14/11/2021,1193520,car,A1, 36 months,Not Verified,64320,5360,2.5,243.49,6.03,8000,17,8765
796355,RI,INDIVIDUAL,10+ years,Local 51,A,MORTGAGE,11/06/2021,16/04/2021,14/07/2021,Fully Paid,14/08/2021,1001198,car,A1, 36 months,Not Verified,79200,6600,2.18,150.8,5.42,5000,28,5429
868443,DE,INDIVIDUAL,10+ years,Bank of America,A,MORTGAGE,11/09/2021,16/05/2021,14/04/2021,Fully Paid,14/05/2021,1082151,car,A1, 36 months,Not Verified,63996,5333,6.51,96.52,5.42,3200,26,3468
683816,NY,INDIVIDUAL,10+ years,operating engineers local 158,A,MORTGAGE,11/03/2021,11/09/2021,11/09/2021,Fully Paid,11/10/2021,873188,car,A1, 36 months,Not Verified,72000,6000,20.75,223.19,5.42,7400,23,7556
1023029,PA,INDIVIDUAL,10+ years,williams service co,A,MORTGAGE,11/11/2021,14/11/2021,14/12/2021,Fully Paid,14/01/2022,1251828,car,A1, 36 months,Not Verified,72000,6000,17.82,152.18,6.03,5000,37,5478
886517,NM,INDIVIDUAL,10+ years,"C&E Concrete,inc.",A,MORTGAGE,11/09/2021,14/09/2021,14/10/2021,Fully Paid,14/11/2021,1102391,car,A1, 36 months,Not Verified,41784,3482,18.72,152.18,6.03,5000,22,5478
1001581,TX,INDIVIDUAL,10+ years,BASF Corporation,A,MORTGAGE,11/10/2021,16/05/2021,13/10/2021,Fully Paid,13/11/2021,1227382,car,A1, 36 months,Not Verified,96000,8000,23.8,182.62,6.03,6000,27,6493
1004019,NY,INDIVIDUAL,10+ years,village of solvay dpw,A,MORTGAGE,11/10/2021,16/04/2021,14/08/2021,Fully Paid,14/09/2021,1230439,car,A1, 36 months,Not Verified,54000,4500,24.07,182.62,6.03,6000,32,6569
675716,NV,INDIVIDUAL,10+ years,Gideon Toal/U.P.R Inc.,A,MORTGAGE,11/02/2021,14/04/2021,14/03/2021,Fully Paid,14/04/2021,863546,car,A1, 36 months,Not Verified,36000,3000,22.93,271.44,5.42,9000,47,9772
887254,MN,INDIVIDUAL,10+ years,City of West St Paul,A,MORTGAGE,11/10/2021,16/05/2021,14/11/2021,Fully Paid,14/12/2021,1103400,car,A1, 36 months,Not Verified,114000,9500,16.58,219.14,6.03,7200,52,7889
865714,TX,INDIVIDUAL,10+ years,Harris County,A,MORTGAGE,11/09/2021,16/05/2021,13/08/2021,Fully Paid,13/09/2021,1078994,car,A1, 36 months,Not Verified,48000,4000,17.32,170.41,5.42,5650,32,6067
770503,LA,INDIVIDUAL,10+ years,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,11/06/2021,12/01/2021,12/01/2021,Fully Paid,12/02/2021,972180,car,A2, 36 months,Not Verified,39600,3300,14.06,182.51,5.99,6000,32,6194
548151,NJ,INDIVIDUAL,10+ years,ABERDEEN TWSP,A,MORTGAGE,10/07/2021,16/05/2021,13/08/2021,Fully Paid,13/09/2021,706758,car,A2, 36 months,Not Verified,108000,9000,19.76,107.69,6.76,3500,37,3877
542312,FL,INDIVIDUAL,10+ years,Micros Systems Inc.,A,MORTGAGE,10/07/2021,16/05/2021,13/07/2021,Fully Paid,13/08/2021,699868,car,A2, 36 months,Not Verified,57431,4786,6.18,123.07,6.76,4000,21,4431
1008323,AR,INDIVIDUAL,10+ years,Arkansas Department Of Correction,A,MORTGAGE,11/11/2021,15/12/2021,14/12/2021,Fully Paid,14/01/2022,1234988,car,A3, 36 months,Not Verified,32468.8,2706,29.35,186.67,7.51,6000,16,6714
457893,AR,INDIVIDUAL,10+ years,Kroger,A,MORTGAGE,09/11/2021,12/11/2021,12/11/2021,Fully Paid,12/12/2021,569597,car,A3, 36 months,Not Verified,26000,2167,4.29,218.54,7.74,7000,11,7867
451579,OH,INDIVIDUAL,10+ years,Alliance Data Systems,A,MORTGAGE,09/10/2021,14/06/2021,12/03/2021,Fully Paid,12/04/2021,556476,car,A3, 36 months,Not Verified,75000,6250,2.34,156.1,7.74,5000,21,5584
1027822,KY,INDIVIDUAL,10+ years,City of Madisonville,A,MORTGAGE,11/11/2021,16/05/2021,14/08/2021,Fully Paid,14/09/2021,1257204,car,A3, 36 months,Not Verified,58000,4833,26.92,56,7.51,1800,28,2013
700052,NC,INDIVIDUAL,10+ years,RCCG - Victory Temple,A,MORTGAGE,11/04/2021,15/11/2021,14/04/2021,Fully Paid,14/05/2021,891691,car,A3, 36 months,Not Verified,50000,4167,20.3,308.41,6.92,10000,32,11103
661459,OH,INDIVIDUAL,10+ years,Atkins and Pearce,A,MORTGAGE,11/02/2021,14/02/2021,14/02/2021,Fully Paid,14/03/2021,845936,car,A4, 36 months,Not Verified,48000,4000,19.88,201.57,7.29,6500,24,7257
768140,CA,INDIVIDUAL,10+ years,Orchard Supply Hardware,A,MORTGAGE,11/05/2021,12/12/2021,12/12/2021,Fully Paid,12/01/2022,969361,car,A4, 36 months,Not Verified,73000,6083,14.33,155.51,7.49,5000,23,5312
823069,CT,INDIVIDUAL,10+ years,Custom Phone Inc,A,MORTGAGE,11/07/2021,12/11/2021,12/11/2021,Fully Paid,12/12/2021,1031607,car,A4, 36 months,Not Verified,68000,5667,2.86,248.82,7.49,8000,13,8615
761499,GA,INDIVIDUAL,10+ years,Greif LLC,A,MORTGAGE,11/05/2021,14/08/2021,14/06/2021,Fully Paid,14/07/2021,961964,car,A4, 36 months,Not Verified,112992,9416,18.25,248.82,7.49,8000,25,8957
390651,VA,INDIVIDUAL,10+ years,Girard Engineering,A,MORTGAGE,09/04/2021,15/07/2021,12/04/2021,Fully Paid,12/05/2021,425903,car,A4, 36 months,Not Verified,135000,11250,5.18,255.58,9.32,8000,14,9201
483645,GA,INDIVIDUAL,10+ years,AT&T,A,MORTGAGE,10/02/2021,13/02/2021,13/02/2021,Fully Paid,13/03/2021,615502,car,A4, 36 months,Not Verified,75181,6265,18.31,186.66,7.51,6000,30,6720
866551,IL,INDIVIDUAL,10+ years,City of Chicago,A,MORTGAGE,11/09/2021,14/09/2021,14/09/2021,Fully Paid,14/10/2021,1079988,car,A4, 36 months,Not Verified,110400,9200,19.16,93.31,7.49,3000,41,3359
394295,CA,INDIVIDUAL,10+ years,Downey welding,A,MORTGAGE,09/04/2021,12/05/2021,12/05/2021,Fully Paid,12/06/2021,432897,car,A5, 36 months,Not Verified,48000,4000,12.57,481.42,9.63,15000,31,17331
472637,TX,INDIVIDUAL,2 years,Accenture,A,MORTGAGE,09/12/2021,11/12/2021,11/12/2021,Fully Paid,11/01/2022,596861,car,A1, 36 months,Not Verified,54000,4500,2.67,268.83,7.05,8700,15,9538
732697,CO,INDIVIDUAL,2 years,Corvirtus,A,MORTGAGE,11/04/2021,15/10/2021,14/05/2021,Fully Paid,14/06/2021,928926,car,A1, 36 months,Not Verified,85000,7083,4,168.9,5.42,5600,36,6080
628369,TX,INDIVIDUAL,2 years,Cricket Communications,A,MORTGAGE,10/12/2021,13/12/2021,13/12/2021,Fully Paid,13/01/2022,805177,car,A3, 36 months,Not Verified,36000,3000,19.97,54.9,6.17,1800,21,1977
842807,NY,INDIVIDUAL,2 years,walmart distribution,A,MORTGAGE,11/08/2021,16/05/2021,14/08/2021,Fully Paid,14/09/2021,1053506,car,A4, 36 months,Not Verified,36000,3000,18.83,217.72,7.49,7000,13,7838
564180,CA,INDIVIDUAL,3 years,California Department of Justice,A,MORTGAGE,10/08/2021,13/08/2021,13/09/2021,Fully Paid,13/10/2021,725950,car,A1, 36 months,Not Verified,120000,10000,5.2,140.76,6.39,4600,42,5068
464609,AZ,INDIVIDUAL,3 years,Mesa Fire Department,A,MORTGAGE,09/12/2021,16/05/2021,10/03/2021,Fully Paid,10/04/2021,582432,car,A2, 36 months,Not Verified,60000,5000,10.04,62.12,7.4,2000,14,2036
1050642,OH,INDIVIDUAL,3 years,Ares Inc.,A,MORTGAGE,11/12/2021,14/06/2021,14/06/2021,Fully Paid,14/07/2021,1281883,car,A2, 36 months,Not Verified,62352,5196,12.07,116.68,6.62,3800,24,4187
710680,PA,INDIVIDUAL,3 years,Lonza Inc,A,MORTGAGE,11/03/2021,14/04/2021,14/04/2021,Fully Paid,14/05/2021,903454,car,A2, 36 months,Not Verified,54000,4500,11.29,151.64,5.79,5000,20,5459
390765,MD,INDIVIDUAL,3 years,Rummel  Klepper  and  Kahl,A,MORTGAGE,09/04/2021,10/03/2021,10/02/2021,Fully Paid,10/03/2021,426115,car,A3, 36 months,Not Verified,60000,5000,0.36,313.37,8,10000,11,10513
1026512,TX,INDIVIDUAL,4 years,Aramark,A,MORTGAGE,11/11/2021,14/11/2021,14/12/2021,Fully Paid,14/01/2022,1255698,car,A1, 36 months,Not Verified,66000,5500,1.18,91.31,6.03,3000,23,3287
471543,FL,INDIVIDUAL,4 years,Sarasota Memorial Hospital,A,MORTGAGE,09/12/2021,11/08/2021,11/08/2021,Fully Paid,11/09/2021,595343,car,A1, 36 months,Not Verified,241875,20156,6.4,494.4,7.05,16000,24,17370
